"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE1","Toscana","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",12719,"p","dato provvisorio"
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",4408,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",897,"p","dato provvisorio"
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",20667,"p","dato provvisorio"
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",3824,"p","dato provvisorio"
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",32944,"p","dato provvisorio"
"ITF2","Molise","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",921,"p","dato provvisorio"
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",7723,"p","dato provvisorio"
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",15853,"p","dato provvisorio"
"ITE3","Marche","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",5256,"p","dato provvisorio"
"ITE4","Lazio","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",21059,"p","dato provvisorio"
"ITC3","Liguria","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",4702,"p","dato provvisorio"
"ITF2","Molise","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",954,"p","dato provvisorio"
"ITE2","Umbria","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",2787,"p","dato provvisorio"
"ITF4","Puglia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",14978,"p","dato provvisorio"
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",4038,"p","dato provvisorio"
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",4549,"p","dato provvisorio"
